ID,Question,Alternatives,Details,Done,Fixed
B001,Is your desired or current degree program a PhD?,1:Yes;2:No,Desired/Current Degree Program,Yes,
B002,Enrollment status:,1:Enrolled at University of Potsdam ;2:Enrolled at another university (please specify which);3:Not officially enrolled ,Enrollment Status,Yes,
B002_02,,,Enrollment Status: Enrolled at another university (please specify which),Yes,
B003,Are you officially enrolled?,0:Yes;1:No but intend to enroll;2:No but intend to re-enroll;5:No and do not intend to finish PhD, Enrollment : Residual option (negative) or number of selected options,Yes,
B003_01,,,Enrollment : Intend to enroll,Yes,
B003_02,,,Enrollment : Intend to re-enroll,Yes,
B003_05,,,Enrollment : Do not intend to finish PhD,Yes,
B004,Gender,1:Female;2:Male;3:Non-binary;4:Diverse,Gender,Yes,
B005,Age,,Age,Yes,
B006,Years at HPI ,B006_01:1 year or less;B006_02:2 years;B006_03:3 years;B006_04:More than 4 years,Years at HPI : Residual option (negative) or number of selected options,Yes,
B006_01,,,Years at HPI : 1 year or less,Yes,
B006_02,,,Years at HPI : 2 years,Yes,
B006_03,,,Years at HPI : 3 years,Yes,
B006_04,,,Years at HPI : More than 4 years,Yes,
B007,Citizenship,1:Non-EU;2:EU;3:Germany,Citizenship,Yes,
B009,German Proficiency,,German Proficiency,Yes,
B010,English Proficiency,,English Proficiency,Yes,
B011,In which language will you write the dissertation,,Dissertation,Yes,
C001,How were you made aware of the opportunity to do a PhD at the HPI?,C001_01:Web;C001_02:Newsletters;C001_03:Academic conferences;C001_04:Friends/colleagues;C001_05:I completed my Bachelor/Master at HPI;C001_06:Other,Made Aware : Residual option (negative) or number of selected options,Yes,
C001_01,,,Made Aware : Web,Yes,
C001_02,,,Made Aware : Newsletters,Yes,
C001_03,,,Made Aware : Academic conferences,Yes,
C001_04,,,Made Aware : Friends/colleagues,Yes,
C001_05,,,Made Aware : I completed my Bachelor/Master at HPI,Yes,
C001_06,,,Made Aware : Other,Yes,
C002,Was the application/enrollment process for the PhD clear; and straightforward? ,C002_01:Yes;C002_02:No,C002_01a:Yes (free text);C002_02a:No (free text),Yes,
C002_01,,, Yes,Yes,
C002_01a,,, Yes (free text),Yes,
C002_02,,, No,Yes,
C002_02a,,, No (free text),Yes,
C003,Did you have a formal onboarding? Please elaborate. ,C003_01:Yes;C003_02:No,C003_01a:Yes (free text);C003_02a:No (free text),Yes,
C003_01,,,Yes,Yes,
C003_01a,,,Yes (free text),Yes,
C003_02,,,No,Yes,
C003_02a,,,No (free text),Yes,
C004,Were you made aware of the DEF?,C004_01:Yes;C004_02:No,,Yes,
C004_01,,,Yes,Yes,
C004_02,,,No,Yes,
C006,If you would like to complete the PhD; but have not yet enrolled as a doctoral student please explain why:,C006:Enrollment Doctoral Student,,Yes,
C007,Was the onboarding process clear or did you feel any information or contact person was missing?,C007_01:Yes;C007_02:No,C007_01a:Yes (free text);C007_02a:No (free text),Yes,
C007_01,,,Yes,Yes,
C007_01a,,,Yes (free text),Yes,
C007_02,,,No,Yes,
C007_02a,,,No (free text),Yes,
D001,In general; was it easy to settle at the HPI as a new member?,D001:Yes No,"D001_02:No. What were the challenges? (e.g. administrative, language, communication...). Please specify.",Yes,
D001_02,,,"No. What were the challenges? (e.g. administrative, language, communication...) Please specify.",Yes,
D003,Do you feel satisfied with your level of connection to peers and others?,D003:Yes No,,Yes,
D004,How are you connected to your peers and others at the HPI?,D004_01:Social Media;D004_02:Mailing List (official);D004_03:Messaging Apps (e.g. Telegram);D004_04:Events (e.g. Friday Beers);D004_06:Official contacts at HPI-University of Potsdam;D004_07:Slack;D004_08:Linked-In;D004_09:Other,D004_09a:Other (free text),Yes,
D004_01,,,Connection General: Social Media,Yes,
D004_02,,,Connection General: Mailing List (official),Yes,
D004_03,,,Connection General: Messaging Apps (e.g.; Telegram),Yes,
D004_04,,,Connection General: Events (e.g.; Friday Beers),Yes,
D004_06,,,Connection General: Official contacts at HPI; University of Potsdam,Yes,
D004_07,,,Connection General: Slack,Yes,
D004_08,,,Connection General: Linked-In,Yes,
D004_09,,,Connection General: Other,Yes,
D004_09a,,,Connection General: Other (free text),Yes,
D017,Are you aware of events organized by the University of Potsdam Graduate School?,D017:Yes No,,Yes,
D011,Did your research chair organize welcome events?,D011:Yes No,D011_01:Yes. Please specify.,Yes,
D011_01,,,Yes. Please specify.,Yes,
D012,Are you aware of any social events; and activities organized by your research chair or the Forschungskolleg (Research School)? ,D012:Yes No,,Yes,
D019,Are there any additional or other formats you would have liked? ,D019: Free text,D019: Free text,Yes,
D021,Do you have any ideas for additional development events or trainings that should be organized at the HPI?,D021: Free text,D021: Free text,Yes,
D022,Would you like to see similar or additional event formats at HPI? ,D022:Yes No,,Yes,
E007,If you receive a scholarship from HPI; do you think the offer is competitive with other universities? ,E007:Yes No,,Yes,
E008,If you hold a scientific staff position at HPI; do you think the monthly salary is competitive with other universities?,E008:Yes No,,Yes,
E009,What is the duration of the longest contract you have received from HPI (as a stipend recipient or as a scientific worker),E009:Multiple Choice,,Yes,
E011,Which source of funding would you like to have?,E011:Multiple Choice,,Yes,
